DATE,OUVERTURE_1,FERMETURE_1,OUVERTURE_2,FERMETURE_2
2021-01-01,6h10,11h47,18h42,0h08
2021-01-02,6h49,12h26,19h22,0h48
2021-01-03,7h30,13h07,20h05,1h29
2021-01-04,8h14,13h51,20h51,2h14
2021-01-05,9h01,14h39,21h41,3h04
2021-01-06,9h54,15h33,22h39,4h02
2021-01-07,10h57,16h36,23h46,5h12
2021-01-08,12h10,17h48,,
2021-01-09,0h57,6h28,13h26,19h03
2021-01-10,2h06,7h42,14h36,20h14
2021-01-11,3h07,8h48,15h39,21h17
2021-01-12,4h03,9h45,16h35,22h11
2021-01-13,4h53,10h35,17h25,23h00
2021-01-14,5h39,11h21,18h11,23h43
2021-01-15,6h22,12h04,18h53,0h22
2021-01-16,7h03,12h43,19h33,0h58
2021-01-17,7h41,13h19,20h10,1h31
2021-01-18,8h18,13h52,20h46,2h02
2021-01-19,8h55,14h24,21h23,2h33
2021-01-20,9h33,14h57,22h04,3h08
2021-01-21,10h20,15h36,22h56,3h56
2021-01-22,11h23,16h30,,
2021-01-23,0h04,5h04,12h45,17h44
2021-01-24,1h20,6h27,14h01,19h03
2021-01-25,2h23,7h41,14h59,20h11
2021-01-26,3h14,8h40,15h47,21h07
2021-01-27,3h59,9h29,16h31,21h55
2021-01-28,4h42,10h14,17h13,22h39
2021-01-29,5h23,10h57,17h54,23h20
2021-01-30,6h04,11h38,18h34,0h01
2021-01-31,6h44,12h20,19h15,0h41
2021-02-01,7h24,13h01,19h55,1h21
2021-02-02,8h04,13h43,20h36,2h01
2021-02-03,8h46,14h24,21h20,02h43
2021-02-04,9h33,15h08,22h09,3h31
2021-02-05,10h28,16h00,23h09,4h32
2021-02-06,11h41,17h09,,
2021-02-07,0h26,5h53,13h09,18h36
2021-02-08,1h49,7h22,14h32,20h01
2021-02-09,3h00,8h35,15h37,21h08
2021-02-10,3h57,9h34,16h31,22h02
2021-02-11,4h47,10h23,17h17,22h47
2021-02-12,5h30,11h06,17h59,23h26
2021-02-13,6h10,11h45,18h36,0h01
2021-02-14,6h46,12h20,19h10,0h33
2021-02-15,7h19,12h51,19h42,1h01
2021-02-16,7h50,13h20,20h11,1h27
2021-02-17,8h20,13h46,20h40,1h52
2021-02-18,8h51,14h10,21h11,2h18
2021-02-19,9h25,14h37,21h49,2h49
2021-02-20,10h13,15h12,22h45,3h39
2021-02-21,11h34,16h16,,
2021-02-22,0h16,5h06,13h26,18h00
2021-02-23,1h51,6h49,14h39,19h37
2021-02-24,2h53,8h07,15h30,20h44
2021-02-25,3h42,9h06,16h14,21h36
2021-02-26,4h26,9h55,16h57,22h22
2021-02-27,5h09,10h41,17h38,23h05
2021-02-28,5h50,11h24,18h19,23h46
2021-03-01,6h30,12h06,18h59,0h26
2021-03-02,7h10,12h47,19h38,1h05
2021-03-03,7h49,13h26,20h17,1h43
2021-03-04,8h29,14h05,20h57,2h22
2021-03-05,9h14,14h44,21h42,3h05
2021-03-06,10h08,15h31,22h40,4h02
2021-03-07,11h24,16h40,,
2021-03-08,0h05,5h28,13h07,18h21
2021-03-09,1h44,7h08,14h33,19h54
2021-03-10,2h56,8h24,15h33,20h59
2021-03-11,3h49,9h20,16h20,21h48
2021-03-12,4h34,10h06,17h01,22h28
2021-03-13,5h14,10h45,17h38,23h03
2021-03-14,5h49,11h19,18h11,23h34
2021-03-15,6h22,11h51,18h41,0h03
2021-03-16,6h52,12h20,19h09,0h30
2021-03-17,7h21,12h46,19h36,0h55
2021-03-18,7h48,13h10,20h02,1h18
2021-03-19,8h16,13h32,20h28,1h41
2021-03-20,8h46,13h55,21h00,2h07
2021-03-21,9h28,14h23,21h47,2h46
2021-03-22,10h38,15h14,23h12,4h01
2021-03-23,12h46,17h05,,
2021-03-24,1h14,5h58,14h12,19h02
2021-03-25,2h25,7h32,15h03,20h17
2021-03-26,3h16,8h37,15h48,21h11
2021-03-27,4h02,9h30,16h31,21h58
2021-03-28,5h45,11h18,18h14,23h43
2021-03-29,6h28,12h03,18h56,0h25
2021-03-30,7h10,12h46,19h36,1h06
2021-03-31,7h50,13h27,20h16,1h46
2021-04-01,8h31,14h07,20h54,2h24
2021-04-02,9h13,14h45,21h34,3h04
2021-04-03,9h59,15h24,22h20,3h47
2021-04-04,10h55,16h12,23h20,4h45
2021-04-05,12h17,17h24,,
2021-04-06,0h52,6h13,14h02,19h09
2021-04-07,2h31,7h50,15h20,20h38
2021-04-08,3h39,9h02,16h12,21h37
2021-04-09,4h29,9h55,16h56,22h22
2021-04-10,5h11,10h38,17h34,23h00
2021-04-11,5h48,11h15,18h08,23h33
2021-04-12,6h22,11h48,18h40,0h03
2021-04-13,6h54,12h19,19h09,0h32
2021-04-14,7h23,12h47,19h36,0h59
2021-04-15,7h51,13h14,20h02,1h25
2021-04-16,8h19,13h39,20h28,1h50
2021-04-17,8h48,14h04,20h56,2h15
2021-04-18,9h20,14h29,21h28,2h44
2021-04-19,10h02,15h01,22h15,3h24
2021-04-20,11h08,15h55,23h32,4h33
2021-04-21,12h56,17h34,,
2021-04-22,1h24,6h17,14h26,19h24
2021-04-23,2h43,7h52,15h24,20h41
2021-04-24,3h39,9h02,16h13,21h38
2021-04-25,4h28,9h59,16h59,22h28
