DATE,OUVERTURE_1,FERMETURE_1,OUVERTURE_2,FERMETURE_2,OUVERTURE_3,FERMETURE_3,OUVERTURE_4,FERMETURE_4
2021-01-01,09:41:00,13:41:00,,,08:41:00,14:41:00,,
2021-01-02,22:12:00,02:12:00,10:22:00,14:22:00,21:12:00,03:12:00,09:22:00,15:22:00
2021-01-03,22:54:00,02:54:00,11:05:00,15:05:00,21:54:00,03:54:00,10:05:00,16:05:00
2021-01-04,23:39:00,03:39:00,11:51:00,15:51:00,22:39:00,04:39:00,10:51:00,16:51:00
2021-01-05,00:37:00,04:37:00,12:50:00,16:50:00,23:37:00,05:37:00,11:50:00,17:50:00
2021-01-06,01:29:00,05:29:00,13:45:00,17:45:00,00:29:00,06:29:00,12:45:00,18:45:00
2021-01-07,02:28:00,06:28:00,14:51:00,18:51:00,01:28:00,07:28:00,13:51:00,19:51:00
2021-01-08,03:39:00,07:39:00,16:08:00,20:08:00,02:39:00,08:39:00,15:08:00,21:08:00
2021-01-09,04:52:00,08:52:00,17:23:00,21:23:00,03:52:00,09:52:00,16:23:00,22:23:00
2021-01-10,05:57:00,09:57:00,18:18:00,22:18:00,04:57:00,10:57:00,17:18:00,23:18:00
2021-01-11,06:44:00,10:44:00,19:14:00,23:14:00,05:44:00,11:44:00,18:14:00,00:14:00
2021-01-12,07:36:00,11:36:00,20:05:00,00:05:00,06:36:00,12:36:00,19:05:00,01:05:00
2021-01-13,08:23:00,12:23:00,20:53:00,00:53:00,07:23:00,13:23:00,19:53:00,01:53:00
2021-01-14,09:08:00,13:08:00,21:38:00,01:38:00,08:08:00,14:08:00,20:38:00,02:38:00
2021-01-15,09:50:00,13:50:00,,,08:50:00,14:50:00,,
2021-01-16,22:20:00,02:20:00,10:31:00,14:31:00,21:20:00,03:20:00,09:31:00,15:31:00
2021-01-17,23:00:00,03:00:00,11:10:00,15:10:00,22:00:00,04:00:00,10:10:00,16:10:00
2021-01-18,23:38:00,03:38:00,11:48:00,15:48:00,22:38:00,04:38:00,10:48:00,16:48:00
2021-01-19,00:26:00,04:26:00,12:37:00,16:37:00,23:26:00,05:26:00,11:37:00,17:37:00
2021-01-20,01:05:00,05:05:00,13:19:00,17:19:00,00:05:00,06:05:00,12:19:00,18:19:00
2021-01-21,01:52:00,05:52:00,14:14:00,18:14:00,00:52:00,06:52:00,13:14:00,19:14:00
2021-01-22,02:51:00,06:51:00,15:52:00,18:52:00,01:51:00,07:51:00,14:22:00,20:22:00
2021-01-23,04:28:00,07:28:00,17:05:00,20:05:00,02:58:00,08:58:00,15:35:00,21:35:00
2021-01-24,05:07:00,09:07:00,17:50:00,21:50:00,04:07:00,10:07:00,16:50:00,22:50:00
2021-01-25,06:11:00,10:11:00,18:49:00,22:49:00,05:11:00,11:11:00,17:49:00,23:49:00
2021-01-26,07:01:00,11:01:00,19:34:00,23:34:00,06:01:00,12:01:00,18:34:00,00:34:00
2021-01-27,07:44:00,11:44:00,20:03:00,00:03:00,06:44:00,12:44:00,19:03:00,01:03:00
2021-01-28,08:14:00,12:14:00,20:42:00,00:42:00,07:14:00,13:14:00,19:42:00,01:42:00
2021-01-29,08:52:00,12:52:00,21:21:00,01:21:00,07:52:00,13:52:00,20:21:00,02:21:00
2021-01-30,09:32:00,13:32:00,,,08:32:00,14:32:00,,
2021-01-31,22:01:00,02:01:00,10:12:00,14:12:00,21:01:00,03:01:00,09:12:00,15:12:00
2021-02-01,22:42:00,02:42:00,10:54:00,14:54:00,21:42:00,03:42:00,09:54:00,15:54:00
2021-02-02,23:24:00,03:24:00,11:37:00,15:37:00,22:24:00,04:24:00,10:37:00,16:37:00
2021-02-03,00:07:00,04:07:00,12:20:00,16:20:00,23:07:00,05:07:00,11:20:00,17:20:00
2021-02-04,00:51:00,04:51:00,13:18:00,17:18:00,23:51:00,05:51:00,12:18:00,18:18:00
2021-02-05,01:52:00,05:52:00,14:16:00,18:16:00,00:52:00,06:52:00,13:16:00,19:16:00
2021-02-06,02:59:00,06:59:00,15:39:00,19:39:00,01:59:00,07:59:00,14:39:00,20:39:00
2021-02-07,04:25:00,08:25:00,17:09:00,21:09:00,03:25:00,09:25:00,16:09:00,22:09:00
2021-02-08,05:44:00,09:44:00,18:21:00,22:21:00,04:44:00,10:44:00,17:21:00,23:21:00
2021-02-09,06:46:00,10:46:00,19:20:00,23:20:00,05:46:00,11:46:00,18:20:00,00:20:00
2021-02-10,07:28:00,11:28:00,19:59:00,23:59:00,06:28:00,12:28:00,18:59:00,00:59:00
2021-02-11,08:14:00,12:14:00,20:43:00,00:43:00,07:14:00,13:14:00,19:43:00,01:43:00
2021-02-12,08:55:00,12:55:00,21:22:00,01:22:00,07:55:00,13:55:00,20:22:00,02:22:00
2021-02-13,09:33:00,13:33:00,21:58:00,01:58:00,08:33:00,14:33:00,20:58:00,02:58:00
2021-02-14,,,10:08:00,14:08:00,,,09:08:00,15:08:00
2021-02-15,22:32:00,02:32:00,10:42:00,14:42:00,21:32:00,03:32:00,09:42:00,15:42:00
2021-02-16,23:05:00,03:05:00,11:15:00,15:15:00,22:05:00,04:05:00,10:15:00,16:15:00
2021-02-17,23:35:00,03:35:00,11:55:00,15:55:00,22:35:00,04:35:00,10:55:00,16:55:00
2021-02-18,00:13:00,04:13:00,12:25:00,16:25:00,23:13:00,05:13:00,11:25:00,17:25:00
2021-02-19,00:43:00,04:43:00,13:01:00,17:01:00,23:43:00,05:43:00,12:01:00,18:01:00
2021-02-20,01:25:00,05:25:00,14:27:00,17:27:00,00:25:00,06:25:00,12:57:00,18:57:00
2021-02-21,03:04:00,06:04:00,16:00:00,19:00:00,01:34:00,07:34:00,14:30:00,20:30:00
2021-02-22,04:39:00,07:39:00,17:38:00,20:38:00,03:09:00,09:09:00,16:08:00,22:08:00
2021-02-23,05:35:00,09:35:00,18:25:00,22:25:00,04:35:00,10:35:00,17:25:00,23:25:00
2021-02-24,06:38:00,10:38:00,19:14:00,23:14:00,05:38:00,11:38:00,18:14:00,00:14:00
