DATE,OUVERTURE_1,FERMETURE_1,OUVERTURE_2,FERMETURE_2
2021-01-01,09h00,15h10,21h30,03h35*
2021-01-02,09h40,15h50,22h10,04h15*
2021-01-03,10h40,16h25,23h10,02h45*
2021-01-04,11h20,17h10,23h55,03h30*
2021-01-05,,,12h10,18h00
2021-01-06,00h45,06h35,13h05,19h00
2021-01-07,01h45,07h40,14h10,20h05
2021-01-08,02h55,08h50,15h25,21h15
2021-01-09,04h05,10h00,16h35,22h30
2021-01-10,05h10,11h10,17h45,23h35
2021-01-11,06h10,12h05,18h45,22h30
2021-01-12,06h50,13h05,19h20,23h20
2021-01-13,07h40,13h55,20h10,00h05*
2021-01-14,08h25,14h40,20h55,00h50*
2021-01-15,09h10,15h25,21h40,01h30*
2021-01-16,09h50,16h00,22h20,04h25*
2021-01-17,10h30,16h40,22h55,02h50*
2021-01-18,11h25,17h10,23h50,03h30*
2021-01-19,,,12h00,17h45
2021-01-20,00h30,06h15,12h45,18h25
2021-01-21,01h20,06h55,13h40,19h10
2021-01-22,02h05,07h40,14h35,20h05
2021-01-23,03h15,08h50,15h55,21h20
2021-01-24,04h25,10h00,17h05,22h30
2021-01-25,05h35,11h15,18h10,21h45
2021-01-26,06h20,12h10,18h50,22h30
2021-01-27,07h05,12h55,19h35,23h10
2021-01-28,07h45,13h35,20h15,23h50
2021-01-29,08h10,14h20,20h40,00h30*
2021-01-30,08h50,15h00,21h20,03h25*
2021-01-31,09h30,15h40,22h00,01h50*
2021-02-01,10h10,16h20,22h40,02h30*
2021-02-02,10h50,17h05,23h20,03h15*
2021-02-03,11h35,17h45,,
2021-02-04,00h20,06h10,12h40,18h30
2021-02-05,01h15,07h05,13h40,19h30
2021-02-06,02h20,08h10,15h00,20h45
2021-02-07,03h35,09h30,16h25,22h10
2021-02-08,04h55,10h50,17h40,23h30
2021-02-09,06h05,11h55,18h40,22h25
2021-02-10,07h00,12h50,19h30,23h15
2021-02-11,07h35,13h45,20h00,23h55
2021-02-12,08h15,14h25,20h40,00h35*
2021-02-13,08h55,15h05,21h20,03h25*
2021-02-14,09h30,15h40,21h55,01h45*
2021-02-15,10h05,16h10,22h25,02h15*
2021-02-16,10h35,16h40,22h55,02h45*
2021-02-17,11h25,17h05,23h45,03h15*
2021-02-18,,,12h00,17h40
2021-02-19,00h25,05h55,12h45,18h10
2021-02-20,00h55,06h25,13h25,18h50
2021-02-21,02h00,07h25,14h55,20h05
2021-02-22,03h30,08h55,16h25,21h45
2021-02-23,05h05,10h30,17h45,23h10
2021-02-24,06h00,11h40,18h30,22h10
2021-02-25,06h45,12h30,19h15,22h50
2021-02-26,07h15,13h20,19h40,23h30
2021-02-27,07h55,14h00,20h20,02h25*
2021-02-28,08h35,14h45,21h00,00h50*
2021-03-01,09h15,15h25,21h40,01h30*
2021-03-02,09h55,16h05,22h20,02h15*
2021-03-03,10h35,16h45,23h00,02h55*
2021-03-04,11h15,17h25,23h45,03h35*
2021-03-05,,,12h20,18h10
2021-03-06,00h50,06h35,13h20,19h10
2021-03-07,02h00,07h40,14h50,20h25
2021-03-08,03h25,09h05,16h25,22h00
2021-03-09,04h55,10h40,17h40,23h25
2021-03-10,06h00,11h45,18h35,22h15
2021-03-11,06h55,12h40,19h20,23h00
2021-03-12,07h20,13h25,19h45,23h35
2021-03-13,08h00,14h05,20h20,02h25*
2021-03-14,08h35,14h40,20h55,00h40*
2021-03-15,09h05,15h10,21h25,01h15*
2021-03-16,09h35,15h40,21h55,01h40*
2021-03-17,10h05,16h10,22h20,02h10*
2021-03-18,10h50,16h30,23h05,02h35*
2021-03-19,11h20,17h00,23h35,03h00*
2021-03-20,11h55,17h30,,
2021-03-21,00h10,05h50,12h45,18h10
2021-03-22,01h00,06h25,13h55,19h10
2021-03-23,02h35,07h45,15h45,20h55
2021-03-24,04h20,09h30,17h05,22h25
2021-03-25,05h30,11h00,18h00,21h40
2021-03-26,06h20,12h00,18h45,22h25
2021-03-27,06h50,12h50,19h15,01h20*
2021-03-28,08h30,14h35,20h55,00h50*
2021-03-29,09h10,15h20,21h35,01h30*
2021-03-30,09h50,16h00,22h15,02h10*
2021-03-31,10h35,16h45,22h55,02h50*
2021-04-01,11h15,17h25,23h35,03h30*
2021-04-02,,,12h00,18h10
2021-04-03,00h35,06h25,13h05,18h55
2021-04-04,01h30,07h15,14h10,19h55
2021-04-05,02h45,08h20,15h40,21h10
2021-04-06,04h15,09h45,17h15,22h50
2021-04-07,05h45,11h15,18h30,22h05
2021-04-08,06h45,12h25,19h15,22h55
2021-04-09,07h35,13h15,19h55,01h45*
2021-04-10,08h00,14h00,20h20,02h25*
2021-04-11,08h35,14h35,20h50,00h40*
2021-04-12,09h05,15h10,21h25,01h10*
2021-04-13,09h35,15h40,21h50,01h40*
