DATE,OUVERTURE_1,FERMETURE_1,OUVERTURE_2,FERMETURE_2
2021-01-01,05h35,12h07,18h05,0h30
2021-01-02,06h14,12h47,18h45,01h10
2021-01-03,06h54,13h29,19h27,01h53
2021-01-04,07h36,14h15,20h10,02h40
2021-01-05,08h20,15h05,20h57,03h32
2021-01-06,09h10,16h02,21h50,04h34
2021-01-07,10h09,17h07,22h54,05h44
2021-01-08,11h19,18h18,,
2021-01-09,0h06,06h59,12h37,19h31
2021-01-10,01h19,08h08,13h53,20h38
2021-01-11,02h26,09h09,15h00,21h38
2021-01-12,03h26,10h03,15h59,22h30
2021-01-13,04h20,10h52,16h52,23h18
2021-01-14,05h08,11h38,17h39,0h01
2021-01-15,05h51,12h20,18h21,0h40
2021-01-16,06h31,13h00,18h59,01h17
2021-01-17,07h07,13h37,19h34,01h52
2021-01-18,07h41,14h13,20h06,02h27
2021-01-19,08h12,14h50,20h36,03h03
2021-01-20,08h43,15h29,21h09,03h47
2021-01-21,09h18,16h18,21h50,04h46
2021-01-22,10h07,17h24,22h47,06h04
2021-01-23,11h20,18h41,,
2021-01-24,0h04,07h21,12h47,19h50
2021-01-25,01h20,08h21,14h00,20h46
2021-01-26,02h23,09h09,14h58,21h33
2021-01-27,03h15,09h53,15h48,22h17
2021-01-28,04h03,10h34,16h35,22h59
2021-01-29,04h48,11h16,17h19,23h39
2021-01-30,05h31,11h57,18h02,0h20
2021-01-31,06h13,12h38,18h43,01h00
2021-02-01,06h53,13h20,19h23,01h40
2021-02-02,07h33,14h02,20h02,02h22
2021-02-03,08h12,14h45,20h42,03h07
2021-02-04,08h54,15h33,21h26,03h59
2021-02-05,09h43,16h31,22h18,05h07
2021-02-06,10h46,17h46,23h28,06h32
2021-02-07,12h11,19h13,,
2021-02-08,0h53,07h53,13h39,20h30
2021-02-09,02h12,08h59,14h53,21h31
2021-02-10,03h17,09h53,15h53,22h21
2021-02-11,04h11,10h40,16h43,23h04
2021-02-12,04h58,11h22,17h26,23h43
2021-02-13,05h39,12h01,18h05,0h18
2021-02-14,06h15,12h36,18h38,0h51
2021-02-15,06h47,13h08,19h08,01h20
2021-02-16,07h16,13h39,19h35,01h49
2021-02-17,07h42,14h08,19h59,02h17
2021-02-18,08h06,14h38,20h23,02h49
2021-02-19,08h32,15h14,20h51,03h33
2021-02-20,09h05,16h06,21h32,04h41
2021-02-21,10h01,17h30,22h41,06h20
2021-02-22,11h41,19h12,,
2021-02-23,0h26,07h45,13h27,20h22
2021-02-24,01h53,08h43,14h36,21h13
2021-02-25,02h55,09h30,15h31,21h58
2021-02-26,03h48,10h14,16h21,22h41
2021-02-27,04h36,10h58,17h07,23h23
2021-02-28,05h21,11h41,17h50,0h04
2021-03-01,06h03,12h24,18h31,0h44
2021-03-02,06h43,13h04,19h09,01h23
2021-03-03,07h21,13h44,19h46,02h02
2021-03-04,07h58,14h24,20h22,02h44
2021-03-05,08h37,15h08,21h00,03h33
2021-03-06,09h22,16h04,21h47,04h40
2021-03-07,10h24,17h27,22h58,06h15
2021-03-08,11h57,19h07,,
2021-03-09,0h38,07h44,13h35,20h26
2021-03-10,02h05,08h49,14h46,21h22
2021-03-11,03h08,09h39,15h41,22h06
2021-03-12,03h58,10h22,16h26,22h45
2021-03-13,04h41,11h00,17h06,23h20
2021-03-14,05h19,11h35,17h40,23h51
2021-03-15,05h52,12h07,18h10,0h21
2021-03-16,06h21,12h37,18h37,0h49
2021-03-17,06h47,13h05,19h01,01h15
2021-03-18,07h11,13h32,19h23,01h41
2021-03-19,07h34,13h59,19h44,02h10
2021-03-20,07h57,14h30,20h07,02h46
2021-03-21,08h26,15h14,20h40,03h43
2021-03-22,09h12,16h31,21h38,05h18
2021-03-23,10h45,18h31,23h31,07h03
2021-03-24,12h51,19h53,,
2021-03-25,01h20,08h10,14h08,20h46
2021-03-26,02h29,09h02,15h06,21h32
2021-03-27,03h24,09h49,15h57,22h17
2021-03-28,05h14,11h35,17h44,0h00
2021-03-29,06h01,12h20,18h29,0h42
2021-03-30,06h44,13h03,19h10,01h23
2021-03-31,07h25,13h44,19h49,02h03
2021-04-01,08h04,14h24,20h25,02h43
2021-04-02,08h42,15h05,21h01,03h25
2021-04-03,09h21,15h50,21h38,04h15
2021-04-04,10h07,16h48,22h25,05h26
2021-04-05,11h12,18h17,23h39,07h02
2021-04-06,12h49,19h59,,
2021-04-07,01h25,08h27,14h21,21h11
2021-04-08,02h48,09h28,15h26,22h01
2021-04-09,03h46,10h15,16h16,22h41
2021-04-10,04h34,10h56,16h58,23h17
2021-04-11,05h14,11h32,17h35,23h50
2021-04-12,05h50,12h05,18h08,0h21
2021-04-13,06h22,12h36,18h37,0h50
2021-04-14,06h50,13h06,19h03,01h18
2021-04-15,07h17,13h34,19h27,01h45
2021-04-16,07h42,14h01,19h50,02h13
2021-04-17,08h06,14h30,20h13,02h43
2021-04-18,08h32,15h02,20h38,03h20
2021-04-19,09h04,15h47,21h12,04h13
2021-04-20,09h52,16h59,22h09,05h35
2021-04-21,11h15,18h47,23h53,07h15
2021-04-22,13h08,20h12,,
2021-04-23,01h39,08h29,14h30,21h10
2021-04-24,02h52,09h27,15h31,21h59
2021-04-25,03h51,10h18,16h25,22h47
2021-04-26,04h44,11h07,17h15,23h33
2021-04-27,05h34,11h54,18h01,0h18
2021-04-28,06h20,12h40,18h45,01h01
2021-04-29,07h04,13h24,19h25,01h44
2021-04-30,07h46,14h06,20h03,02h27
2021-05-01,08h27,14h50,20h41,03h12
2021-05-02,09h10,15h38,21h22,04h04
2021-05-03,09h58,16h38,22h11,05h13
2021-05-04,11h02,18h00,23h23,06h37
2021-05-05,12h25,19h30,,
2021-05-06,0h55,07h54,13h46,20h37
2021-05-07,02h11,08h53,14h48,21h26
2021-05-08,03h10,09h41,15h38,22h07
2021-05-09,03h57,10h21,16h20,22h44
2021-05-10,04h39,10h58,16h57,23h18
2021-05-11,05h15,11h33,17h31,23h50
2021-05-12,05h48,12h06,18h01,0h21
2021-05-13,06h19,12h37,18h30,0h51
2021-05-14,06h49,13h08,18h57,01h21
2021-05-15,07h18,13h38,19h24,01h52
2021-05-16,07h47,14h11,19h53,02h26
2021-05-17,08h19,14h49,20h25,03h07
2021-05-18,08h57,15h37,21h06,04h00
2021-05-19,09h48,16h42,22h05,05h09
2021-05-20,11h00,18h04,23h27,06h30
2021-05-21,12h26,19h23,,
2021-05-22,0h55,07h44,13h45,20h27
2021-05-23,02h09,08h47,14h51,21h23
2021-05-24,03h13,09h44,15h49,22h15
2021-05-25,04h11,10h38,16h43,23h06
2021-05-26,05h06,11h29,17h32,23h55
2021-05-27,05h57,12h19,18h19,0h42
2021-05-28,06h45,13h06,19h03,01h28
2021-05-29,07h31,13h52,19h46,02h14
2021-05-30,08h16,14h38,20h27,03h01
2021-05-31,09h01,15h26,21h11,03h52
2021-06-01,09h48,16h20,21h59,04h50
2021-06-02,10h41,17h25,22h57,05h56
2021-06-03,11h43,18h37,,
2021-06-04,0h06,07h04,12h50,19h44
2021-06-05,01h17,08h04,13h53,20h40
2021-06-06,02h19,08h56,14h48,21h26
2021-06-07,03h11,09h42,15h35,22h08
2021-06-08,03h57,10h23,16h16,22h46
2021-06-09,04h39,11h02,16h54,23h22
2021-06-10,05h17,11h39,17h29,23h56
2021-06-11,05h53,12h14,18h03,0h30
2021-06-12,06h28,12h49,18h36,01h04
2021-06-13,07h02,13h24,19h09,01h39
2021-06-14,07h38,14h01,19h45,02h17
2021-06-15,08h16,14h42,20h24,03h00
2021-06-16,08h58,15h29,21h08,03h50
2021-06-17,09h46,16h23,22h00,04h47
2021-06-18,10h42,17h27,23h02,05h53
2021-06-19,11h49,18h36,,
2021-06-20,0h14,07h01,13h00,19h44
2021-06-21,01h27,08h09,14h10,20h48
2021-06-22,02h37,09h13,15h14,21h48
2021-06-23,03h42,10h14,16h13,22h44
2021-06-24,04h42,11h10,17h08,23h37
2021-06-25,05h39,12h04,18h00,0h27
2021-06-26,06h31,12h53,18h48,01h15
2021-06-27,07h20,13h40,19h33,02h01
2021-06-28,08h05,14h25,20h16,02h46
2021-06-29,08h48,15h08,20h57,03h30
2021-06-30,09h29,15h52,21h38,04h16
2021-07-01,10h09,16h38,22h21,05h05
2021-07-02,10h53,17h33,23h09,06h01
2021-07-03,11h44,18h36,,
2021-07-04,0h08,07h03,12h44,19h43
2021-07-05,01h15,08h06,13h48,20h43
2021-07-06,02h20,09h03,14h46,21h34
2021-07-07,03h17,09h53,15h38,22h18
2021-07-08,04h07,10h37,16h24,22h59
2021-07-09,04h53,11h18,17h06,23h37
2021-07-10,05h35,11h58,17h46,0h14
2021-07-11,06h15,12h36,18h25,0h52
2021-07-12,06h54,13h14,19h03,01h30
2021-07-13,07h33,13h53,19h42,02h10
2021-07-14,08h13,14h33,20h22,02h51
2021-07-15,08h53,15h15,21h03,03h36
2021-07-16,09h35,16h01,21h47,04h24
2021-07-17,10h21,16h54,22h37,05h20
2021-07-18,11h15,17h56,23h38,06h25
2021-07-19,12h20,19h09,,
2021-07-20,0h51,07h39,13h33,20h24
2021-07-21,02h10,08h54,14h47,21h32
2021-07-22,03h24,10h02,15h54,22h33
2021-07-23,04h30,11h02,16h54,23h26
2021-07-24,05h29,11h54,17h48,0h16
2021-07-25,06h21,12h42,18h37,01h02
2021-07-26,07h08,13h25,19h21,01h45
2021-07-27,07h50,14h05,20h00,02h24
2021-07-28,08h27,14h41,20h36,03h01
2021-07-29,09h00,15h16,21h09,03h36
2021-07-30,09h31,15h51,21h40,04h13
2021-07-31,10h02,16h31,22h14,04h57
2021-08-01,10h38,17h24,22h57,05h56
2021-08-02,11h28,18h37,,
2021-08-03,0h01,07h12,12h38,20h00
2021-08-04,01h27,08h29,13h59,21h07
2021-08-05,02h44,09h31,15h06,21h57
2021-08-06,03h44,10h20,16h01,22h40
2021-08-07,04h35,11h03,16h49,23h20
2021-08-08,05h21,11h43,17h34,23h59
2021-08-09,06h04,12h23,18h15,0h39
2021-08-10,06h45,13h01,18h56,01h18
2021-08-11,07h24,13h40,19h34,01h58
2021-08-12,08h02,14h18,20h12,02h37
2021-08-13,08h39,14h57,20h49,03h17
2021-08-14,09h16,15h38,21h28,04h01
2021-08-15,09h56,16h26,22h12,04h52
2021-08-16,10h42,17h27,23h08,05h59
2021-08-17,11h44,18h47,,
2021-08-18,0h26,07h26,13h07,20h15
2021-08-19,01h58,08h53,14h34,21h29
2021-08-20,03h20,10h02,15h47,22h27
2021-08-21,04h25,10h57,16h47,23h18
2021-08-22,05h21,11h44,17h38,0h03
2021-08-23,06h08,12h26,18h23,0h44
2021-08-24,06h49,13h04,19h02,01h22
2021-08-25,07h26,13h38,19h36,01h56
2021-08-26,07h57,14h10,20h07,02h27
2021-08-27,08h25,14h39,20h34,02h57
2021-08-28,08h49,15h08,20h58,03h27
2021-08-29,09h13,15h41,21h23,04h02
2021-08-30,09h38,16h23,21h54,04h52
2021-08-31,10h14,17h31,22h45,06h17
2021-09-01,11h18,19h17,,
2021-09-02,0h26,08h05,13h08,20h44
2021-09-03,02h16,09h15,14h39,21h37
2021-09-04,03h23,10h03,15h40,22h20
2021-09-05,04h14,10h44,16h30,23h00
2021-09-06,05h01,11h24,17h16,23h41
2021-09-07,05h45,12h03,17h59,0h21
2021-09-08,06h26,12h43,18h39,01h01
2021-09-09,07h06,13h21,19h18,01h40
2021-09-10,07h43,13h59,19h55,02h19
2021-09-11,08h19,14h37,20h31,02h57
2021-09-12,08h53,15h18,21h08,03h39
2021-09-13,09h30,16h05,21h51,04h32
2021-09-14,10h13,17h09,22h48,05h48
2021-09-15,11h16,18h41,,
2021-09-16,0h15,07h32,12h55,20h16
2021-09-17,01h58,08h59,14h31,21h25
2021-09-18,03h16,09h59,15h39,22h18
2021-09-19,04h14,10h46,16h34,23h04
2021-09-20,05h03,11h27,17h20,23h44
2021-09-21,05h45,12h04,18h00,0h21
2021-09-22,06h22,12h37,18h35,0h54
2021-09-23,06h54,13h08,19h06,01h25
2021-09-24,07h22,13h37,19h33,01h53
2021-09-25,07h46,14h05,19h58,02h20
2021-09-26,08h08,14h32,20h20,02h48
2021-09-27,08h28,15h01,20h41,03h20
2021-09-28,08h48,15h39,21h06,04h04
2021-09-29,09h15,16h38,21h47,05h28
2021-09-30,10h04,18h24,23h19,07h38
2021-10-01,,,12h06,20h11
2021-10-02,01h38,08h52,14h04,21h08
2021-10-03,02h51,09h37,15h10,21h52
2021-10-04,03h44,10h17,16h02,22h34
2021-10-05,04h32,10h58,16h49,23h16
2021-10-06,05h17,11h38,17h34,23h58
2021-10-07,06h00,12h19,18h16,0h39
2021-10-08,06h41,12h59,18h56,01h19
2021-10-09,07h19,13h38,19h35,01h59
2021-10-10,07h55,14h18,20h13,02h40
2021-10-11,08h30,15h01,20h52,03h25
2021-10-12,09h07,15h52,21h37,04h22
2021-10-13,09h52,17h02,22h38,05h48
2021-10-14,11h00,18h38,,
2021-10-15,0h11,07h34,12h46,20h07
2021-10-16,01h48,08h50,14h16,21h11
2021-10-17,02h57,09h42,15h19,21h59
2021-10-18,03h50,10h24,16h09,22h41
2021-10-19,04h35,11h01,16h52,23h18
2021-10-20,05h14,11h36,17h30,23h53
2021-10-21,05h48,12h08,18h03,0h25
2021-10-22,06h18,12h38,18h33,0h55
2021-10-23,06h44,13h07,19h00,01h23
2021-10-24,07h08,13h35,19h25,01h50
2021-10-25,07h31,14h02,19h49,02h18
2021-10-26,07h52,14h33,20h13,02h51
2021-10-27,08h15,15h10,20h40,03h36
2021-10-28,08h43,16h04,21h20,04h50
2021-10-29,09h30,17h31,22h37,06h43
2021-10-30,11h11,19h15,,
2021-10-31,0h40,07h06,12h11,19h24
2021-11-01,01h05,07h58,13h26,20h15
2021-11-02,02h04,08h42,14h23,21h01
2021-11-03,02h56,09h26,15h15,21h46
2021-11-04,03h44,10h10,16h03,22h31
2021-11-05,04h30,10h53,16h50,23h16
2021-11-06,05h13,11h37,17h34,23h59
2021-11-07,05h54,12h20,18h17,0h43
2021-11-08,06h34,13h04,18h59,01h27
2021-11-09,07h13,13h51,19h43,02h17
2021-11-10,07h54,14h45,20h31,03h17
2021-11-11,08h42,15h54,21h32,04h37
2021-11-12,09h50,17h18,22h51,06h07
2021-11-13,11h19,18h37,,
2021-11-14,0h14,07h18,12h40,19h39
2021-11-15,01h20,08h10,13h43,20h28
2021-11-16,02h13,08h53,14h34,21h10
2021-11-17,02h58,09h31,15h18,21h48
2021-11-18,03h37,10h06,15h56,22h23
2021-11-19,04h11,10h40,16h31,22h56
2021-11-20,04h42,11h11,17h02,23h28
2021-11-21,05h11,11h42,17h32,23h59
2021-11-22,05h38,12h12,18h01,0h29
2021-11-23,06h05,12h42,18h29,01h00
2021-11-24,06h32,13h15,18h59,01h36
