DATE,OUVERTURE_1,FERMETURE_1
2021-05-01,,03:40:00
2021-05-01,12:10:00,16:10:00
2021-05-01,,
2021-05-02,00:30:00,04:30:00
2021-05-02,13:10:00,17:10:00
2021-05-02,,
2021-05-03,01:30:00,05:30:00
2021-05-03,14:20:00,18:20:00
2021-05-03,,
2021-05-04,,
2021-05-04,02:25:00,06:25:00
2021-05-04,15:40:00,19:40:00
2021-05-05,,
2021-05-05,03:55:00,07:55:00
2021-05-05,17:05:00,21:05:00
2021-05-06,,
2021-05-06,05:15:00,09:15:00
2021-05-06,18:15:00,22:15:00
2021-05-07,,
2021-05-07,06:25:00,10:25:00
2021-05-07,18:55:00,22:55:00
2021-05-08,,
2021-05-08,07:10:00,11:10:00
2021-05-08,19:35:00,23:35:00
2021-05-09,,
2021-05-09,07:45:00,11:45:00
2021-05-09,20:10:00,
2021-05-10,,00:10:00
2021-05-10,08:25:00,12:25:00
2021-05-10,20:40:00,
2021-05-11,,00:40:00
2021-05-11,08:55:00,12:55:00
2021-05-11,21:10:00,
2021-05-12,,01:10:00
2021-05-12,09:30:00,13:30:00
2021-05-12,21:40:00,
2021-05-13,,01:40:00
2021-05-13,10:00:00,14:00:00
2021-05-13,22:10:00,
2021-05-14,,02:10:00
2021-05-14,10:35:00,14:35:00
2021-05-14,22:45:00,
2021-05-15,,02:45:00
2021-05-15,11:10:00,15:10:00
2021-05-15,23:20:00,
2021-05-16,,03:20:00
2021-05-16,11:50:00,15:50:00
2021-05-16,23:55:00,
2021-05-17,,03:55:00
2021-05-17,12:30:00,16:30:00
2021-05-17,,
2021-05-18,00:35:00,04:35:00
2021-05-18,13:05:00,17:05:00
2021-05-18,,
2021-05-19,01:15:00,05:15:00
2021-05-19,14:15:00,18:15:00
2021-05-19,,
2021-05-20,,
2021-05-20,02:30:00,06:30:00
2021-05-20,15:45:00,19:45:00
2021-05-21,,
2021-05-21,03:55:00,07:55:00
2021-05-21,17:00:00,21:00:00
2021-05-22,,
2021-05-22,05:25:00,09:25:00
2021-05-22,18:10:00,22:10:00
2021-05-23,,
2021-05-23,06:20:00,10:20:00
2021-05-23,18:55:00,22:55:00
2021-05-24,,
2021-05-24,07:05:00,11:05:00
2021-05-24,19:35:00,23:35:00
2021-05-25,,
2021-05-25,07:50:00,11:50:00
2021-05-25,20:15:00,
2021-05-26,,00:15:00
2021-05-26,08:35:00,12:35:00
2021-05-26,21:00:00,
2021-05-27,,01:00:00
2021-05-27,09:25:00,13:25:00
2021-05-27,21:45:00,
2021-05-28,,01:45:00
2021-05-28,10:15:00,14:15:00
2021-05-28,22:35:00,
2021-05-29,,02:35:00
2021-05-29,11:10:00,15:10:00
2021-05-29,23:25:00,
2021-05-30,,03:25:00
2021-05-30,12:05:00,16:05:00
2021-05-30,,
2021-05-31,00:20:00,04:20:00
2021-05-31,13:00:00,17:00:00
2021-05-31,,
2021-06-01,01:15:00,05:15:00
2021-06-01,14:00:00,18:00:00
2021-06-01,,
2021-06-02,02:15:00,06:15:00
2021-06-02,15:00:00,19:00:00
2021-06-02,,
2021-06-03,,
2021-06-03,03:15:00,07:15:00
2021-06-03,16:15:00,20:15:00
2021-06-04,,
2021-06-04,04:30:00,08:30:00
2021-06-04,17:20:00,21:20:00
2021-06-05,,
2021-06-05,05:30:00,09:30:00
