DATE,OUVERTURE_1,FERMETURE_1,OUVERTURE_2,FERMETURE_2
2021-01-01,8h43,14h15,21h16,2h39
2021-01-02,9h22,14h54,21h59,3h20
2021-01-03,10h05,15h35,22h44,4h03
2021-01-04,10h52,16h18,23h34,4h50
2021-01-05,11h44,17h06,,
2021-01-06,0h30,5h43,12h44,17h59
2021-01-07,1h32,6h43,13h53,19h03
2021-01-08,2h41,7h52,15h08,20h16
2021-01-09,3h48,9h03,16h20,21h32
2021-01-10,4h50,10h12,17h24,22h43
2021-01-11,5h46,11h15,18h20,23h46
2021-01-12,6h37,12h10,19h11,0h40
2021-01-13,7h25,13h00,19h59,1h29
2021-01-14,8h10,13h45,20h44,2h13
2021-01-15,8h52,14h27,21h27,2h53
2021-01-16,9h34,15h05,22h08,3h30
2021-01-17,10h15,15h41,22h49,4h04
2021-01-18,10h56,16h13,23h30,4h36
2021-01-19,11h39,16h44,,
2021-01-20,0h13,5h08,12h27,17h15
2021-01-21,1h03,5h45,13h27,17h51
2021-01-22,1h46,6h33,14h16,18h44
2021-01-23,3h03,7h41,15h40,20h05
2021-01-24,4h14,9h01,17h10,21h31
2021-01-25,5h19,10h12,17h54,22h41
2021-01-26,6h01,11h09,18h33,23h36
2021-01-27,6h40,11h57,19h11,0h23
2021-01-28,7h17,12h42,19h48,1h06
2021-01-29,7h55,13h24,20h26,1h48
2021-01-30,8h33,14h05,21h05,2h29
2021-01-31,9h12,14h46,21h45,3h10
2021-02-01,9h53,15h27,22h27,3h51
2021-02-02,10h36,16h08,23h12,4h33
2021-02-03,11h23,16h50,,
2021-02-04,0h01,5h17,12h17,17h35
2021-02-05,0h58,6h07,13h24,18h28
2021-02-06,2h08,7h09,14h48,19h40
2021-02-07,3h30,8h26,16h18,21h07
2021-02-08,4h46,9h47,17h28,22h31
2021-02-09,5h45,10h59,18h23,23h38
2021-02-10,6h35,11h58,19h10,0h31
2021-02-11,7h20,12h47,19h52,1h16
2021-02-12,8h00,13h29,20h31,1h55
2021-02-13,8h38,14h07,21h08,2h31
2021-02-14,9h15,14h42,21h42,3h02
2021-02-15,9h50,15h13,22h16,3h31
2021-02-16,10h24,15h40,22h49,3h57
2021-02-17,10h59,16h06,23h22,4h21
2021-02-18,11h37,16h29,,
2021-02-19,0h01,4h45,12h25,16h50
2021-02-20,0h16,5h11,12h47,17h16
2021-02-21,1h27,5h53,14h39,18h21
2021-02-22,3h22,7h24,16h21,20h26
2021-02-23,4h41,9h14,17h39,22h06
2021-02-24,5h45,10h33,18h15,23h12
2021-02-25,6h23,11h32,18h52,0h03
2021-02-26,7h01,12h21,19h29,0h49
2021-02-27,7h38,13h06,20h07,1h32
2021-02-28,8h16,13h49,20h45,2h13
2021-03-01,8h55,14h31,21h25,2h53
2021-03-02,9h35,15h11,22h05,3h33
2021-03-03,10h17,15h51,22h47,4h12
2021-03-04,11h03,16h31,23h34,4h52
2021-03-05,11h57,17h12,,
2021-03-06,0h29,5h35,13h05,18h01
2021-03-07,1h43,6h32,14h43,19h15
2021-03-08,3h22,7h54,16h26,20h55
2021-03-09,4h46,9h29,17h32,22h26
2021-03-10,5h44,10h46,18h19,23h30
2021-03-11,6h28,11h44,18h59,0h18
2021-03-12,7h08,12h29,19h35,0h57
2021-03-13,7h44,13h08,20h09,1h31
2021-03-14,8h18,13h42,20h41,2h03
2021-03-15,8h50,14h13,21h12,2h31
2021-03-16,9h22,14h42,21h41,2h57
2021-03-17,9h53,15h08,22h10,3h21
2021-03-18,10h24,15h32,22h39,3h43
2021-03-19,10h58,15h53,23h12,4h03
2021-03-20,11h40,16h12,23h55,4h22
2021-03-21,12h41,16h32,,
2021-03-22,0h15,4h45,13h21,17h16
2021-03-23,2h18,5h59,15h53,19h35
2021-03-24,4h09,8h14,17h13,21h31
2021-03-25,5h20,9h54,17h47,22h43
2021-03-26,5h58,11h02,18h24,23h38
2021-03-27,6h35,11h55,19h02,0h25
2021-03-28,8h14,13h43,20h41,2h10
2021-03-29,8h53,14h28,21h20,2h52
2021-03-30,9h34,15h10,22h00,3h32
2021-03-31,10h15,15h52,22h40,4h12
2021-04-01,10h59,16h32,23h23,4h51
2021-04-02,11h47,17h13,,
2021-04-03,0h11,5h31,12h43,17h56
2021-04-04,1h08,6h13,13h56,18h47
2021-04-05,2h26,7h09,15h41,20h05
2021-04-06,4h11,8h32,17h19,21h47
2021-04-07,5h35,10h08,18h17,23h11
2021-04-08,6h28,11h25,18h58,0h09
2021-04-09,7h09,12h19,19h35,0h53
2021-04-10,7h46,13h02,20h09,1h29
2021-04-11,8h21,13h39,20h40,2h01
2021-04-12,8h53,14h11,21h10,2h31
2021-04-13,9h24,14h42,21h39,2h59
2021-04-14,9h54,15h11,22h07,3h26
2021-04-15,10h24,15h38,22h35,3h50
2021-04-16,10h56,16h03,23h04,4h14
2021-04-17,11h30,16h28,23h38,4h37
2021-04-18,12h12,16h54,,
2021-04-19,0h20,5h01,13h10,17h25
2021-04-20,0h46,5h32,13h47,18h23
2021-04-21,2h16,6h39,16h16,20h11
2021-04-22,4h26,8h34,17h27,21h55
2021-04-23,5h39,10h14,18h08,23h09
2021-04-24,6h21,11h26,18h48,0h06
2021-04-25,7h03,12h24,19h29,0h56
2021-04-26,7h45,13h15,20h11,1h43
2021-04-27,8h28,14h02,20h53,2h27
2021-04-28,9h12,14h48,21h35,3h10
2021-04-29,9h57,15h32,22h18,3h52
2021-04-30,10h44,16h16,23h03,4h33
2021-05-01,11h35,17h00,23h54,5h15
2021-05-02,12h34,17h46,,
2021-05-03,0h53,6h00,13h47,18h42
2021-05-04,2h09,6h56,15h19,19h55
2021-05-05,3h41,8h09,16h45,21h20
2021-05-06,5h01,9h32,17h43,22h35
2021-05-07,5h57,10h45,18h25,23h32
2021-05-08,6h40,11h41,19h02,0h16
2021-05-09,7h18,12h25,19h36,0h53
2021-05-10,7h53,13h03,20h08,1h26
2021-05-11,8h26,13h38,20h38,1h58
2021-05-12,8h58,14h11,21h08,2h28
2021-05-13,9h29,14h43,21h37,2h57
2021-05-14,10h01,15h12,22h07,3h25
2021-05-15,10h35,15h42,22h40,3h53
2021-05-16,11h12,16h12,23h17,4h22
2021-05-17,11h56,16h47,,
2021-05-18,0h03,4h56,12h52,17h29
2021-05-19,1h03,5h39,14h05,18h29
2021-05-20,2h22,6h41,15h24,19h51
2021-05-21,3h42,8h07,16h31,21h17
2021-05-22,4h47,9h35,17h23,22h29
2021-05-23,5h40,10h48,18h10,23h30
2021-05-24,6h29,11h50,18h56,0h25
2021-05-25,7h17,12h46,19h42,1h15
2021-05-26,8h05,13h39,20h28,2h03
2021-05-27,8h54,14h28,21h14,2h49
2021-05-28,9h43,15h16,22h01,3h34
2021-05-29,10h34,16h03,22h49,4h19
2021-05-30,11h27,16h49,23h40,5h03
2021-05-31,12h24,17h37,,
2021-06-01,0h37,5h49,13h27,18h29
2021-06-02,1h42,6h38,14h38,19h27
2021-06-03,2h56,7h35,15h51,20h31
2021-06-04,4h10,8h39,16h53,21h37
2021-06-05,5h13,9h46,17h42,22h37
2021-06-06,6h03,10h47,18h23,23h28
2021-06-07,6h46,11h40,19h01,0h12
2021-06-08,7h25,12h25,19h36,0h51
2021-06-09,8h01,13h06,20h10,1h27
2021-06-10,8h36,13h44,20h42,2h01
2021-06-11,9h10,14h20,21h15,2h34
2021-06-12,9h44,14h54,21h48,3h07
2021-06-13,10h21,15h28,22h24,3h40
2021-06-14,11h00,16h04,23h05,4h16
2021-06-15,11h44,16h44,23h50,4h56
2021-06-16,12h34,17h29,,
2021-06-17,0h43,5h41,13h31,18h22
2021-06-18,1h44,6h35,14h34,19h26
2021-06-19,2h51,7h41,15h38,20h38
2021-06-20,3h58,8h56,16h39,21h49
2021-06-21,5h02,10h10,17h35,22h55
2021-06-22,6h01,11h19,18h29,23h55
2021-06-23,6h57,12h22,19h21,0h52
2021-06-24,7h51,13h20,20h11,1h44
2021-06-25,8h44,14h14,21h00,2h33
2021-06-26,9h35,15h04,21h48,3h21
2021-06-27,10h25,15h51,22h36,4h06
2021-06-28,11h15,16h37,23h24,4h49
2021-06-29,12h04,17h20,,
2021-06-30,0h14,5h30,12h55,18h02
2021-07-01,1h06,6h09,13h48,18h44
2021-07-02,2h04,6h50,14h46,19h31
2021-07-03,3h09,7h37,15h49,20h26
2021-07-04,4h19,8h35,16h50,21h29
2021-07-05,5h24,9h43,17h44,22h33
2021-07-06,6h17,10h51,18h29,23h29
2021-07-07,7h01,11h49,19h10,0h17
2021-07-08,7h41,12h39,19h47,1h00
2021-07-09,8h18,13h23,20h23,1h40
2021-07-10,8h54,14h03,20h58,2h18
2021-07-11,9h30,14h41,21h34,2h55
2021-07-12,10h07,15h19,22h11,3h33
2021-07-13,10h45,15h58,22h51,4h12
2021-07-14,11h27,16h39,23h33,4h52
2021-07-15,12h11,17h21,,
2021-07-16,0h19,5h34,12h59,18h06
2021-07-17,1h11,6h20,13h52,18h58
2021-07-18,2h11,7h13,14h54,19h59
2021-07-19,3h20,8h20,16h02,21h10
2021-07-20,4h36,9h38,17h11,22h24
2021-07-21,5h47,10h57,18h14,23h34
2021-07-22,6h51,12h09,19h10,0h36
2021-07-23,7h47,13h11,20h02,1h31
2021-07-24,8h38,14h05,20h50,2h21
2021-07-25,9h26,14h53,21h36,3h07
2021-07-26,10h11,15h37,22h19,3h49
2021-07-27,10h54,16h17,23h01,4h27
2021-07-28,11h35,16h53,23h43,5h02
2021-07-29,12h15,17h26,,
2021-07-30,0h25,5h33,12h56,17h57
2021-07-31,1h11,6h02,13h41,18h29
2021-08-01,2h04,6h33,14h37,19h09
2021-08-02,2h39,7h15,15h20,20h08
2021-08-03,4h02,8h26,16h47,21h28
2021-08-04,5h33,9h59,18h04,22h46
2021-08-05,6h44,11h19,18h49,23h48
2021-08-06,7h23,12h18,19h28,0h38
2021-08-07,7h59,13h06,20h05,1h22
2021-08-08,8h35,13h49,20h40,2h04
2021-08-09,9h11,14h29,21h16,2h44
2021-08-10,9h47,15h08,21h53,3h23
2021-08-11,10h24,15h47,22h30,4h02
2021-08-12,11h03,16h26,23h10,4h41
2021-08-13,11h43,17h05,23h53,5h20
2021-08-14,12h26,17h45,,
2021-08-15,0h41,6h01,13h17,18h30
2021-08-16,1h40,6h48,14h19,19h25
2021-08-17,2h56,7h52,15h37,20h39
2021-08-18,4h28,9h19,17h02,22h04
2021-08-19,5h50,10h51,18h11,23h24
2021-08-20,6h52,12h07,19h07,0h29
2021-08-21,7h43,13h07,19h54,1h23
2021-08-22,8h28,13h56,20h37,2h09
2021-08-23,9h09,14h38,21h18,2h50
2021-08-24,9h48,15h16,21h56,3h27
2021-08-25,10h24,15h50,22h32,4h00
2021-08-26,10h59,16h20,23h08,4h29
2021-08-27,11h32,16h47,23h43,4h56
2021-08-28,12h05,17h12,,
2021-08-29,0h20,5h19,12h41,17h36
2021-08-30,1h05,5h41,13h27,18h01
2021-08-31,1h30,6h05,13h59,18h38
2021-09-01,3h02,6h57,15h49,20h03
2021-09-02,5h03,9h07,17h28,21h59
2021-09-03,6h12,10h52,18h28,23h19
2021-09-04,6h59,11h58,19h05,0h16
2021-09-05,7h33,12h47,19h41,1h03
2021-09-06,8h08,13h31,20h17,1h46
2021-09-07,8h44,14h11,20h52,2h27
2021-09-08,9h20,14h50,21h29,3h06
2021-09-09,9h57,15h29,22h06,3h45
2021-09-10,10h34,16h07,22h46,4h24
2021-09-11,11h14,16h45,23h29,5h03
2021-09-12,11h57,17h24,,
2021-09-13,0h19,5h43,12h48,18h07
2021-09-14,1h21,6h31,13h54,19h01
2021-09-15,2h47,7h39,15h26,20h21
2021-09-16,4h34,9h19,17h01,21h57
2021-09-17,5h52,10h56,18h07,23h20
2021-09-18,6h46,12h06,18h57,0h21
2021-09-19,7h29,12h57,19h39,1h09
2021-09-20,8h08,13h39,20h18,1h50
2021-09-21,8h44,14h16,20h54,2h26
2021-09-22,9h18,14h48,21h28,2h59
2021-09-23,9h50,15h19,22h00,3h30
2021-09-24,10h20,15h46,22h32,3h57
2021-09-25,10h49,16h12,23h04,4h22
2021-09-26,11h19,16h35,23h38,4h45
2021-09-27,11h50,16h57,,
